"Súd"	"Rok"	"Agenda"	"Počet1"	"Počet2"	"Počet3"	"Počet4"	"Poťet5"
"Okresný súd Liptovský Mikuláš"	2012	"Cbd"	9	6	"NULL"	6	13
"Okresný súd Liptovský Mikuláš"	2012	"Ccud"	23	24	"NULL"	24	4
"Okresný súd Liptovský Mikuláš"	2012	"Cd"	18	8	"NULL"	8	22
"Okresný súd Liptovský Mikuláš"	2012	"Cpr"	29	21	45	16	17
"Okresný súd Liptovský Mikuláš"	2012	"D"	3972	4108	"NULL"	4154	1856
"Okresný súd Liptovský Mikuláš"	2012	"Dcud"	3	3	"NULL"	3	0
"Okresný súd Liptovský Mikuláš"	2012	"Dd"	8	5	"NULL"	5	3
"Okresný súd Liptovský Mikuláš"	2012	"Ecud"	1	2	"NULL"	2	0
"Okresný súd Liptovský Mikuláš"	2012	"Em"	5	4	1	4	4
"Okresný súd Liptovský Mikuláš"	2012	"Er"	6127	5951	"NULL"	5951	642
"Okresný súd Liptovský Mikuláš"	2012	"Ercud"	2	0	"NULL"	0	2
"Okresný súd Liptovský Mikuláš"	2012	"Nt"	25	43	"NULL"	43	12
"Okresný súd Liptovský Mikuláš"	2012	"P"	615	620	690	591	189
"Okresný súd Liptovský Mikuláš"	2012	"Pcud"	8	9	"NULL"	9	0
"Okresný súd Liptovský Mikuláš"	2012	"Pd"	9	9	"NULL"	9	2
"Okresný súd Liptovský Mikuláš"	2012	"Po"	7	7	"NULL"	7	0
"Okresný súd Liptovský Mikuláš"	2012	"PPOm"	1	1	"NULL"	1	0
"Okresný súd Liptovský Mikuláš"	2012	"Ps"	17	18	23	18	6
"Okresný súd Liptovský Mikuláš"	2012	"Pu"	35	35	"NULL"	33	6
"Okresný súd Liptovský Mikuláš"	2012	"Ro"	7525	7238	"NULL"	6804	1979
"Okresný súd Liptovský Mikuláš"	2012	"Rob"	3076	3162	"NULL"	3352	476
"Okresný súd Liptovský Mikuláš"	2012	"S"	26	19	"NULL"	19	7
"Okresný súd Liptovský Mikuláš"	2012	"T"	244	251	40	193	171
"Okresný súd Liptovský Mikuláš"	2012	"Tcud"	2	1	"NULL"	1	1
"Okresný súd Liptovský Mikuláš"	2012	"Tp"	86	86	"NULL"	86	0
"Okresný súd Liptovský Mikuláš"	2012	"U"	136	51	"NULL"	51	272
"Okresný súd Martin"	2012	"C"	278	250	294	231	213
"Okresný súd Martin"	2012	"Cb"	811	1105	727	1086	538
"Okresný súd Martin"	2012	"Cbcud"	11	11	"NULL"	11	0
"Okresný súd Martin"	2012	"Cbd"	14	13	"NULL"	13	2
"Okresný súd Martin"	2012	"Ccud"	11	11	"NULL"	11	2
"Okresný súd Martin"	2012	"Cd"	5	6	"NULL"	6	2
"Okresný súd Martin"	2012	"Cpr"	2	1	"NULL"	1	2
"Okresný súd Martin"	2012	"D"	2174	2196	"NULL"	2187	1093
"Okresný súd Martin"	2012	"Dd"	5	5	"NULL"	5	0
"Okresný súd Martin"	2012	"E"	0	0	"NULL"	0	3
"Okresný súd Martin"	2012	"Ecud"	2	2	"NULL"	2	1
"Okresný súd Martin"	2012	"Em"	4	4	5	5	8
"Okresný súd Martin"	2012	"Er"	6252	5602	"NULL"	5602	1363
"Okresný súd Martin"	2012	"Ercud"	1	0	"NULL"	0	1
"Okresný súd Martin"	2012	"Nt"	89	93	6	93	25
"Okresný súd Martin"	2012	"P"	394	384	494	363	227
"Okresný súd Martin"	2012	"Pcud"	4	6	"NULL"	6	1
"Okresný súd Martin"	2012	"Pd"	10	10	"NULL"	10	1
"Okresný súd Martin"	2012	"Po"	2	2	"NULL"	2	6
"Okresný súd Martin"	2012	"Pp"	209	207	3	207	20
"Okresný súd Martin"	2012	"PPOm"	1	1	"NULL"	1	0
"Okresný súd Martin"	2012	"Ps"	7	7	7	7	5
"Okresný súd Martin"	2012	"Pu"	9	9	"NULL"	9	2
"Okresný súd Martin"	2012	"S"	14	14	"NULL"	14	0
"Okresný súd Martin"	2012	"T"	257	287	67	250	145
"Okresný súd Martin"	2012	"Tcud"	1	1	"NULL"	1	0
"Okresný súd Martin"	2012	"Td"	8	7	"NULL"	7	2
"Okresný súd Martin"	2012	"Tp"	100	100	"NULL"	100	0
"Okresný súd Martin"	2012	"U"	11	93	"NULL"	93	30
"Okresný súd Martin"	2012	"UL"	1	0	"NULL"	1	0
"Okresný súd Námestovo"	2012	"C"	391	376	705	369	613
"Okresný súd Námestovo"	2012	"Cb"	281	311	506	299	330
"Okresný súd Námestovo"	2012	"Cbcud"	3	0	"NULL"	0	3
"Okresný súd Námestovo"	2012	"Cbd"	2	2	"NULL"	2	0
"Okresný súd Námestovo"	2012	"Ccud"	30	30	"NULL"	30	2
"Okresný súd Námestovo"	2012	"Cd"	3	3	"NULL"	3	0
"Okresný súd Námestovo"	2012	"Cpr"	2	2	11	1	3
"Okresný súd Námestovo"	2012	"D"	722	809	"NULL"	799	450
"Okresný súd Námestovo"	2012	"Dcud"	0	1	"NULL"	1	0
"Okresný súd Námestovo"	2012	"Dd"	2	19	"NULL"	19	0
"Okresný súd Námestovo"	2012	"Ecud"	2	1	"NULL"	1	0
"Okresný súd Námestovo"	2012	"Em"	2	4	"NULL"	3	2
"Okresný súd Námestovo"	2012	"Er"	2885	2841	"NULL"	2841	66
"Okresný súd Námestovo"	2012	"Nt"	21	10	6	24	6
"Okresný súd Námestovo"	2012	"P"	498	429	465	410	254
"Okresný súd Námestovo"	2012	"Pcud"	3	2	"NULL"	2	1
"Okresný súd Námestovo"	2012	"Pd"	1	1	"NULL"	1	0
"Okresný súd Námestovo"	2012	"Po"	4	4	"NULL"	4	0
"Okresný súd Námestovo"	2012	"PPOm"	1	1	"NULL"	1	0
"Okresný súd Námestovo"	2012	"Ps"	9	9	21	11	6
"Okresný súd Námestovo"	2012	"Pu"	21	21	"NULL"	20	1
"Okresný súd Námestovo"	2012	"Ro"	3313	3230	"NULL"	3157	940
"Okresný súd Námestovo"	2012	"Rob"	2177	2268	"NULL"	2436	500
"Okresný súd Námestovo"	2012	"S"	5	5	"NULL"	3	2
"Okresný súd Námestovo"	2012	"T"	320	358	574	313	138
"Okresný súd Námestovo"	2012	"Tcud"	1	1	"NULL"	1	0
"Okresný súd Námestovo"	2012	"Tp"	85	86	"NULL"	86	0
"Okresný súd Námestovo"	2012	"U"	3	10	"NULL"	10	183
"Okresný súd Ružomberok"	2012	"C"	812	704	864	605	572
"Okresný súd Ružomberok"	2012	"Cb"	379	388	447	379	214
"Okresný súd Ružomberok"	2012	"Cbcud"	12	7	"NULL"	7	5
"Okresný súd Ružomberok"	2012	"Ccud"	47	45	"NULL"	45	7
"Okresný súd Ružomberok"	2012	"Cd"	9	10	"NULL"	10	0
"Okresný súd Ružomberok"	2012	"Cpr"	11	8	18	5	7
"Okresný súd Ružomberok"	2012	"D"	1996	2010	"NULL"	2077	1315
"Okresný súd Ružomberok"	2012	"Dd"	48	37	"NULL"	37	56
"Okresný súd Ružomberok"	2012	"E"	0	2	"NULL"	26	32
"Okresný súd Ružomberok"	2012	"Ecud"	6	6	"NULL"	6	0
"Okresný súd Ružomberok"	2012	"Em"	13	10	"NULL"	9	9
"Okresný súd Ružomberok"	2012	"Er"	5573	5438	"NULL"	5438	368
"Okresný súd Ružomberok"	2012	"Nt"	109	116	48	116	5
"Okresný súd Ružomberok"	2012	"P"	416	409	402	397	122
"Okresný súd Ružomberok"	2012	"Pcud"	6	5	"NULL"	5	2
"Okresný súd Ružomberok"	2012	"Pd"	10	11	"NULL"	11	1
"Okresný súd Ružomberok"	2012	"Pp"	92	116	33	116	5
"Okresný súd Ružomberok"	2012	"PPOm"	2	1	"NULL"	1	1
"Okresný súd Ružomberok"	2012	"Ps"	7	7	7	7	5
"Okresný súd Ružomberok"	2012	"Pu"	13	13	"NULL"	14	0
"Okresný súd Ružomberok"	2012	"Ro"	3406	3797	"NULL"	3715	765
"Okresný súd Ružomberok"	2012	"Rob"	1244	1394	"NULL"	1388	262
"Okresný súd Ružomberok"	2012	"S"	3	3	"NULL"	3	0
"Okresný súd Ružomberok"	2012	"T"	193	187	160	183	61
"Okresný súd Ružomberok"	2012	"Tcud"	2	2	"NULL"	2	0
"Okresný súd Ružomberok"	2012	"Td"	10	10	"NULL"	10	0
"Okresný súd Ružomberok"	2012	"Tp"	46	46	"NULL"	46	0
"Okresný súd Ružomberok"	2012	"U"	6	12	"NULL"	12	8
"Krajský súd Banská Bystrica"	2012	"Cb"	"NULL"	3	6	3	8
"Krajský súd Banská Bystrica"	2012	"Cbi"	3	9	16	8	16
"Krajský súd Banská Bystrica"	2012	"Co"	121	103	3	103	38
"Krajský súd Banská Bystrica"	2012	"Cob"	78	75	2	75	25
"Krajský súd Banská Bystrica"	2012	"CoD"	4	4	"NULL"	4	1
"Krajský súd Banská Bystrica"	2012	"CoE"	224	217	"NULL"	217	16
"Krajský súd Banská Bystrica"	2012	"CoKR"	16	17	"NULL"	17	4
"Krajský súd Banská Bystrica"	2012	"CoP"	34	33	1	33	3
"Krajský súd Banská Bystrica"	2012	"CoPom"	1	1	"NULL"	1	"NULL"
"Krajský súd Banská Bystrica"	2012	"CoPr"	4	3	"NULL"	3	1
"Krajský súd Banská Bystrica"	2012	"CoZm"	4	4	"NULL"	4	1
"Krajský súd Banská Bystrica"	2012	"K"	"NULL"	84	4	100	340
"Krajský súd Banská Bystrica"	2012	"Ncb"	6	6	"NULL"	6	"NULL"
"Krajský súd Banská Bystrica"	2012	"NcC"	464	464	"NULL"	464	"NULL"
"Krajský súd Banská Bystrica"	2012	"NcCb"	1	1	"NULL"	1	1
"Krajský súd Banská Bystrica"	2012	"Ntc"	3	2	"NULL"	2	2
"Krajský súd Banská Bystrica"	2012	"Nto"	6	6	"NULL"	6	"NULL"
"Krajský súd Banská Bystrica"	2012	"Ntt"	20	20	"NULL"	20	"NULL"
"Krajský súd Banská Bystrica"	2012	"S"	36	33	28	20	42
"Krajský súd Banská Bystrica"	2012	"Scud"	2	2	2	1	2
"Krajský súd Banská Bystrica"	2012	"Sd"	97	88	61	88	55
"Krajský súd Banská Bystrica"	2012	"Sp"	26	19	16	10	21
"Krajský súd Banská Bystrica"	2012	"T"	"NULL"	"NULL"	"NULL"	"NULL"	1
"Krajský súd Banská Bystrica"	2012	"To"	50	55	52	55	7
"Krajský súd Banská Bystrica"	2012	"Tos"	40	40	37	40	1
"Krajský súd Banská Bystrica"	2012	"Tpo"	17	17	"NULL"	17	"NULL"
"Krajský súd Banská Bystrica"	2012	"V"	"NULL"	"NULL"	"NULL"	2	"NULL"
"Krajský súd Banská Bystrica"	2012	"Zm"	"NULL"	"NULL"	1	"NULL"	6
"Okresný súd Banská Bystrica"	2012	"C"	924	714	982	631	789
"Okresný súd Banská Bystrica"	2012	"Cb"	165	173	222	166	165
"Okresný súd Banská Bystrica"	2012	"Cbcud"	5	6	"NULL"	6	0
"Okresný súd Banská Bystrica"	2012	"Cbd"	2	2	"NULL"	2	1
"Okresný súd Banská Bystrica"	2012	"Cbi"	41	46	78	39	85
"Okresný súd Banská Bystrica"	2012	"CbPv"	11	8	15	7	15
"Okresný súd Banská Bystrica"	2012	"CbR"	90	94	52	90	177
"Okresný súd Banská Bystrica"	2012	"CbZm"	10	6	18	5	14
"Okresný súd Banská Bystrica"	2012	"Ccud"	992	1013	"NULL"	1013	39
"Okresný súd Banská Bystrica"	2012	"Cd"	13	14	"NULL"	14	3
"Okresný súd Banská Bystrica"	2012	"Cpr"	20	17	32	13	14
"Okresný súd Banská Bystrica"	2012	"D"	619	592	"NULL"	597	243
"Okresný súd Banská Bystrica"	2012	"Dcud"	20	18	"NULL"	18	3
"Okresný súd Banská Bystrica"	2012	"Dd"	2	2	"NULL"	2	0
"Okresný súd Banská Bystrica"	2012	"Ecud"	4	3	"NULL"	3	2
"Okresný súd Banská Bystrica"	2012	"Em"	9	8	"NULL"	8	6
"Okresný súd Banská Bystrica"	2012	"Er"	5688	5521	"NULL"	5521	233
"Okresný súd Banská Bystrica"	2012	"Erd"	134	137	"NULL"	137	11
"Okresný súd Banská Bystrica"	2012	"Exre"	277	244	"NULL"	244	185
"Okresný súd Banská Bystrica"	2012	"K"	132	122	10	56	327
"Okresný súd Banská Bystrica"	2012	"Nsre"	36	33	"NULL"	33	4
"Okresný súd Banská Bystrica"	2012	"Nt"	69	67	"NULL"	67	11
"Okresný súd Banská Bystrica"	2012	"Ntt"	105	105	"NULL"	105	0
"Okresný súd Banská Bystrica"	2012	"P"	540	528	612	517	170
"Okresný súd Banská Bystrica"	2012	"Pcud"	27	28	"NULL"	28	2
"Okresný súd Banská Bystrica"	2012	"Pd"	44	42	"NULL"	42	5
"Okresný súd Banská Bystrica"	2012	"Po"	7	7	1	7	1
"Okresný súd Banská Bystrica"	2012	"Pp"	96	94	"NULL"	94	11
"Okresný súd Banská Bystrica"	2012	"PPOm"	4	4	"NULL"	4	0
"Okresný súd Banská Bystrica"	2012	"Ps"	14	16	10	16	6
"Okresný súd Banská Bystrica"	2012	"Pu"	30	30	"NULL"	30	1
"Okresný súd Banská Bystrica"	2012	"R"	14	14	2	1	55
"Okresný súd Banská Bystrica"	2012	"Ro"	5914	5888	"NULL"	5418	2544
"Okresný súd Banská Bystrica"	2012	"Rob"	2503	2370	"NULL"	2436	1058
"Okresný súd Banská Bystrica"	2012	"S"	11	11	"NULL"	10	2
"Okresný súd Banská Bystrica"	2012	"T"	131	128	2	128	41
"Okresný súd Banská Bystrica"	2012	"Tcud"	6	6	"NULL"	6	1
"Okresný súd Banská Bystrica"	2012	"Td"	5	5	"NULL"	5	1
"Okresný súd Banská Bystrica"	2012	"Tp"	47	47	"NULL"	47	0
"Okresný súd Banská Bystrica"	2012	"Tv"	3	3	"NULL"	3	1
"Okresný súd Banská Bystrica"	2012	"U"	11	25	"NULL"	25	40
"Okresný súd Banská Bystrica"	2012	"UL"	1	1	"NULL"	1	2
"Okresný súd Banská Bystrica"	2012	"Zm"	31	28	3	28	15
"Okresný súd Brezno"	2012	"C"	1142	1244	510	1331	1049
"Okresný súd Brezno"	2012	"Cb"	193	234	109	253	134
"Okresný súd Brezno"	2012	"Cbcud"	2	3	"NULL"	3	0
"Okresný súd Brezno"	2012	"Cbd"	3	3	"NULL"	3	0
"Okresný súd Brezno"	2012	"Ccud"	58	66	"NULL"	66	2
"Okresný súd Brezno"	2012	"Cd"	4	3	"NULL"	3	1
"Okresný súd Brezno"	2012	"Cpr"	12	9	8	6	9
"Okresný súd Brezno"	2012	"D"	1068	1044	"NULL"	1024	345
"Okresný súd Brezno"	2012	"Dcud"	2	2	"NULL"	2	0
"Okresný súd Brezno"	2012	"Dd"	3	0	"NULL"	0	3
"Okresný súd Brezno"	2012	"Ecud"	5	3	"NULL"	3	1
"Okresný súd Brezno"	2012	"Ed"	3	5	"NULL"	5	0
"Okresný súd Brezno"	2012	"Em"	8	6	"NULL"	6	6
"Okresný súd Brezno"	2012	"Er"	6451	6106	3	6106	516
"Okresný súd Brezno"	2012	"Ercud"	0	1	"NULL"	1	0
"Okresný súd Brezno"	2012	"Erd"	2	3	"NULL"	3	0
"Okresný súd Brezno"	2012	"Nt"	20	18	5	18	4
"Okresný súd Brezno"	2012	"P"	388	363	326	349	167
"Okresný súd Brezno"	2012	"Pcud"	3	3	"NULL"	3	1
"Okresný súd Brezno"	2012	"Pd"	5	4	"NULL"	4	2
"Okresný súd Brezno"	2012	"Po"	28	28	"NULL"	28	4
"Okresný súd Brezno"	2012	"PPOm"	1	1	"NULL"	1	1
"Okresný súd Brezno"	2012	"Ps"	8	14	12	14	4
"Okresný súd Brezno"	2012	"Ro"	3570	2795	"NULL"	2653	1423
"Okresný súd Brezno"	2012	"Rob"	1197	1183	"NULL"	1114	475
"Okresný súd Brezno"	2012	"T"	254	259	134	269	52
"Okresný súd Brezno"	2012	"Tp"	87	87	"NULL"	87	0
"Okresný súd Brezno"	2012	"U"	5	13	"NULL"	13	0
"Okresný súd Brezno"	2012	"UL"	7	12	"NULL"	12	4
"Okresný súd Lučenec"	2012	"C"	1418	793	964	743	883
"Okresný súd Lučenec"	2012	"Cb"	253	245	382	234	136
"Okresný súd Lučenec"	2012	"Cbcud"	9	8	"NULL"	8	1
"Okresný súd Lučenec"	2012	"Cbd"	2	1	"NULL"	1	0
"Okresný súd Lučenec"	2012	"Ccud"	139	143	"NULL"	143	34
"Okresný súd Lučenec"	2012	"Cd"	11	9	"NULL"	9	6
"Okresný súd Lučenec"	2012	"Cpr"	15	12	18	11	8
"Okresný súd Lučenec"	2012	"D"	1465	1472	"NULL"	1488	295
"Okresný súd Lučenec"	2012	"Dcud"	1	2	"NULL"	2	0
"Okresný súd Lučenec"	2012	"Dd"	2	2	"NULL"	2	0
"Okresný súd Lučenec"	2012	"Ecud"	2	0	"NULL"	0	2
"Okresný súd Lučenec"	2012	"Em"	4	2	"NULL"	2	3
"Okresný súd Lučenec"	2012	"Er"	5105	4901	"NULL"	4901	400
"Okresný súd Lučenec"	2012	"Nt"	22	27	1	27	13
"Okresný súd Lučenec"	2012	"P"	484	486	571	462	107
"Okresný súd Lučenec"	2012	"Pcud"	2	2	"NULL"	2	1
"Okresný súd Lučenec"	2012	"Pd"	6	5	"NULL"	5	2
"Okresný súd Lučenec"	2012	"Po"	9	21	"NULL"	21	2
"Okresný súd Lučenec"	2012	"PPOm"	15	15	"NULL"	15	0
"Okresný súd Lučenec"	2012	"Ps"	13	16	18	16	3
"Okresný súd Lučenec"	2012	"Ro"	9449	7889	"NULL"	8932	2868
"Okresný súd Lučenec"	2012	"Rob"	2562	2383	"NULL"	2514	510
"Okresný súd Lučenec"	2012	"S"	2	2	"NULL"	2	0
"Okresný súd Lučenec"	2012	"T"	291	310	133	306	81
"Okresný súd Lučenec"	2012	"Tcud"	0	1	"NULL"	1	0
"Okresný súd Lučenec"	2012	"Td"	0	2	"NULL"	2	1
"Okresný súd Lučenec"	2012	"Tp"	110	110	"NULL"	110	0
"Okresný súd Lučenec"	2012	"U"	4	116	"NULL"	116	1
"Okresný súd Lučenec"	2012	"UL"	0	1	"NULL"	1	0
"Okresný súd Revúca"	2012	"C"	3634	839	743	757	3302
"Okresný súd Revúca"	2012	"Cb"	170	185	182	173	109
"Okresný súd Revúca"	2012	"Cbd"	3	3	"NULL"	3	0
"Okresný súd Revúca"	2012	"Ccud"	350	393	"NULL"	393	41
"Okresný súd Revúca"	2012	"Cpr"	23	18	25	14	14
"Okresný súd Revúca"	2012	"D"	949	919	"NULL"	941	278
"Okresný súd Revúca"	2012	"Dd"	1	1	"NULL"	1	0
"Okresný súd Revúca"	2012	"Ecud"	36	4	"NULL"	4	32
"Okresný súd Revúca"	2012	"Em"	6	8	"NULL"	6	6
"Okresný súd Revúca"	2012	"Er"	6265	6285	"NULL"	6285	1019
"Okresný súd Revúca"	2012	"Ercud"	1	0	"NULL"	0	1
"Okresný súd Revúca"	2012	"Erd"	0	1	"NULL"	1	1
"Okresný súd Revúca"	2012	"Nt"	51	55	47	55	11
"Okresný súd Revúca"	2012	"P"	945	894	740	844	273
"Okresný súd Revúca"	2012	"Pcud"	4	4	"NULL"	4	0
"Okresný súd Revúca"	2012	"Pd"	16	16	"NULL"	16	3
"Okresný súd Revúca"	2012	"Po"	55	47	"NULL"	47	9
"Okresný súd Revúca"	2012	"PPOm"	1	1	"NULL"	1	0
"Okresný súd Revúca"	2012	"Ps"	17	13	12	13	6
"Okresný súd Revúca"	2012	"Ro"	16370	17230	"NULL"	17540	4870
"Okresný súd Revúca"	2012	"Rob"	1990	2100	"NULL"	2030	600
"Okresný súd Revúca"	2012	"S"	0	5	"NULL"	5	0
"Okresný súd Revúca"	2012	"T"	306	305	149	308	57
"Okresný súd Revúca"	2012	"Tcud"	1	1	"NULL"	1	0
"Okresný súd Revúca"	2012	"Tp"	99	103	"NULL"	103	0
"Okresný súd Revúca"	2012	"U"	12	31	"NULL"	31	37
"Okresný súd Revúca"	2012	"UL"	2	0	"NULL"	0	2
"Okresný súd Rimavská Sobota"	2012	"C"	556	220	205	187	470
"Okresný súd Rimavská Sobota"	2012	"Cb"	148	191	198	171	97
"Okresný súd Rimavská Sobota"	2012	"Cbcud"	2	2	"NULL"	2	0
"Okresný súd Rimavská Sobota"	2012	"Cbd"	5	3	"NULL"	3	2
"Okresný súd Rimavská Sobota"	2012	"Ccud"	29	33	"NULL"	33	3
"Okresný súd Rimavská Sobota"	2012	"Cd"	1	1	"NULL"	1	0
"Okresný súd Rimavská Sobota"	2012	"Cpr"	3	2	"NULL"	2	0
"Okresný súd Rimavská Sobota"	2012	"D"	2227	2345	"NULL"	2327	537
"Okresný súd Rimavská Sobota"	2012	"Dcud"	7	3	"NULL"	3	0
"Okresný súd Rimavská Sobota"	2012	"Dd"	7	7	"NULL"	7	0
"Okresný súd Rimavská Sobota"	2012	"Ecud"	34	22	"NULL"	22	15
"Okresný súd Rimavská Sobota"	2012	"Em"	6	5	"NULL"	5	3
"Okresný súd Rimavská Sobota"	2012	"Er"	8779	9601	"NULL"	9601	648
"Okresný súd Rimavská Sobota"	2012	"Ercud"	4	4	"NULL"	4	0
"Okresný súd Rimavská Sobota"	2012	"Erd"	1	1	"NULL"	1	0
"Okresný súd Rimavská Sobota"	2012	"Nt"	6	7	"NULL"	7	2
"Okresný súd Rimavská Sobota"	2012	"P"	372	382	352	379	85
"Okresný súd Rimavská Sobota"	2012	"Pcud"	2	2	"NULL"	2	1
"Okresný súd Rimavská Sobota"	2012	"Pd"	7	6	"NULL"	6	1
"Okresný súd Rimavská Sobota"	2012	"Po"	4	5	"NULL"	5	1
"Okresný súd Rimavská Sobota"	2012	"Pp"	22	22	"NULL"	22	1
"Okresný súd Rimavská Sobota"	2012	"PPOm"	5	5	"NULL"	5	0
"Okresný súd Rimavská Sobota"	2012	"Ps"	7	8	7	8	2
"Okresný súd Rimavská Sobota"	2012	"Pu"	2	2	"NULL"	2	0
"Okresný súd Rimavská Sobota"	2012	"S"	3	3	"NULL"	3	0
"Okresný súd Rimavská Sobota"	2012	"T"	267	267	76	286	54
"Okresný súd Rimavská Sobota"	2012	"Td"	1	1	"NULL"	1	0
"Okresný súd Rimavská Sobota"	2012	"Tp"	109	109	"NULL"	109	0
"Okresný súd Rimavská Sobota"	2012	"U"	10	62	"NULL"	62	178
"Okresný súd Rimavská Sobota"	2012	"UL"	0	0	"NULL"	0	2
"Okresný súd Veľký Krtíš"	2012	"C"	455	382	327	370	307
"Okresný súd Veľký Krtíš"	2012	"Cb"	177	233	328	200	147
"Okresný súd Veľký Krtíš"	2012	"Cbd"	5	2	"NULL"	2	4
"Okresný súd Veľký Krtíš"	2012	"Ccud"	76	82	"NULL"	82	11
"Okresný súd Veľký Krtíš"	2012	"Cd"	16	18	"NULL"	18	1
"Okresný súd Veľký Krtíš"	2012	"Cpr"	10	12	8	9	5
"Okresný súd Veľký Krtíš"	2012	"D"	2248	2090	"NULL"	2164	667
"Okresný súd Veľký Krtíš"	2012	"Dcud"	2	2	"NULL"	2	0
"Okresný súd Veľký Krtíš"	2012	"Ecud"	12	5	"NULL"	5	7
"Okresný súd Veľký Krtíš"	2012	"Em"	2	4	3	4	0
"Okresný súd Veľký Krtíš"	2012	"Er"	4519	4518	"NULL"	4518	67
"Okresný súd Veľký Krtíš"	2012	"Ercud"	12	13	"NULL"	13	0
"Okresný súd Veľký Krtíš"	2012	"Erd"	3	3	"NULL"	3	0
"Okresný súd Veľký Krtíš"	2012	"Nt"	17	17	2	21	9
"Okresný súd Veľký Krtíš"	2012	"P"	372	385	445	375	104
"Okresný súd Veľký Krtíš"	2012	"Pcud"	1	1	"NULL"	1	1
"Okresný súd Veľký Krtíš"	2012	"Pd"	8	6	"NULL"	6	2
"Okresný súd Veľký Krtíš"	2012	"Po"	8	9	"NULL"	9	2
"Okresný súd Veľký Krtíš"	2012	"PPOm"	5	6	"NULL"	6	0
"Okresný súd Veľký Krtíš"	2012	"Ps"	4	5	2	5	1
"Okresný súd Veľký Krtíš"	2012	"S"	3	3	"NULL"	5	0
"Okresný súd Veľký Krtíš"	2012	"T"	251	272	24	258	88
"Okresný súd Veľký Krtíš"	2012	"Tcud"	2	1	"NULL"	1	1
"Okresný súd Veľký Krtíš"	2012	"Td"	1	1	"NULL"	1	0
"Okresný súd Veľký Krtíš"	2012	"Tp"	142	142	"NULL"	141	1
"Okresný súd Veľký Krtíš"	2012	"U"	5	288	"NULL"	288	160
"Okresný súd Zvolen"	2012	"C"	1391	832	804	121	87
"Okresný súd Zvolen"	2012	"Cb"	1	11	399	13	13
"Okresný súd Zvolen"	2012	"Cbcud"	1	0	"NULL"	0	0
"Okresný súd Zvolen"	2012	"Cbd"	4	6	"NULL"	6	0
"Okresný súd Zvolen"	2012	"Ccud"	1	8	"NULL"	8	8
"Okresný súd Zvolen"	2012	"Cd"	1	1	1	1	1
"Okresný súd Zvolen"	2012	"Cpr"	1	2	13	2	1
"Okresný súd Zvolen"	2012	"Ecud"	6	2	"NULL"	2	4
"Okresný súd Zvolen"	2012	"Em"	8	10	"NULL"	8	7
"Okresný súd Zvolen"	2012	"Er"	5849	6484	"NULL"	6484	197
"Okresný súd Zvolen"	2012	"Ercud"	1	0	"NULL"	0	1
"Okresný súd Zvolen"	2012	"Erd"	1	0	"NULL"	1	1
"Okresný súd Zvolen"	2012	"Nt"	18	11	9	11	34
"Okresný súd Zvolen"	2012	"P"	1	32	278	34	32
"Okresný súd Zvolen"	2012	"Pcud"	1	0	"NULL"	0	0
"Okresný súd Zvolen"	2012	"Pd"	1	1	1	1	1
"Okresný súd Zvolen"	2012	"PPOm"	1	0	"NULL"	0	0
"Okresný súd Zvolen"	2012	"Ps"	1	1	7	1	1
"Okresný súd Zvolen"	2012	"S"	1	1	"NULL"	1	0
"Okresný súd Zvolen"	2012	"T"	269	277	131	269	123
"Okresný súd Zvolen"	2012	"Tcud"	1	2	"NULL"	2	1
"Okresný súd Zvolen"	2012	"Td"	1	1	"NULL"	1	1
"Okresný súd Zvolen"	2012	"Tp"	97	95	"NULL"	95	6
"Okresný súd Žiar n/H"	2012	"C"	1223	689	906	631	1087
"Okresný súd Žiar n/H"	2012	"Cb"	374	392	594	342	468
"Okresný súd Žiar n/H"	2012	"Cbcud"	1	0	"NULL"	0	1
"Okresný súd Žiar n/H"	2012	"Cbd"	1	0	"NULL"	0	1
"Okresný súd Žiar n/H"	2012	"Ccud"	70	79	"NULL"	79	19
"Okresný súd Žiar n/H"	2012	"Cd"	12	13	"NULL"	13	0
"Okresný súd Žiar n/H"	2012	"Cpr"	25	20	23	16	17
"Okresný súd Žiar n/H"	2012	"D"	948	872	"NULL"	852	395
"Okresný súd Žiar n/H"	2012	"Dcud"	2	1	"NULL"	1	1
"Okresný súd Žiar n/H"	2012	"Dd"	16	16	"NULL"	16	0
"Okresný súd Žiar n/H"	2012	"Ecud"	1	1	"NULL"	1	1
"Okresný súd Žiar n/H"	2012	"Em"	9	3	"NULL"	2	35
"Okresný súd Žiar n/H"	2012	"Er"	5635	5712	"NULL"	5712	273
"Okresný súd Žiar n/H"	2012	"Erd"	24	27	"NULL"	27	0
"Okresný súd Žiar n/H"	2012	"Nt"	94	101	1	102	12
"Okresný súd Žiar n/H"	2012	"P"	604	653	704	577	230
"Okresný súd Žiar n/H"	2012	"Pcud"	6	6	"NULL"	6	2
"Okresný súd Žiar n/H"	2012	"Pd"	6	8	"NULL"	8	1
"Okresný súd Žiar n/H"	2012	"Po"	6	5	"NULL"	5	1
"Okresný súd Žiar n/H"	2012	"PPOm"	2	2	"NULL"	2	0
"Okresný súd Žiar n/H"	2012	"Ps"	15	7	6	7	13
"Okresný súd Žiar n/H"	2012	"Pu"	8	7	"NULL"	7	2
"Okresný súd Žiar n/H"	2012	"S"	7	5	"NULL"	5	2
