meno	datum menovania	typ menovania
JUDr. Monika JUROVATÁ 	10.5.1995	n/a
JUDr. Katarína Jusková 	12.12.1996	bez obmedzenia
Mgr. Adriana Kálmánová 	19.5.1998	bez obmedzenia
JUDr. Marta Kamenská 	1.7.1996	n/a
JUDr. Marta Kamenská 	15.6.2000	bez obmedzenia
Mgr. Jarmila Kasanová 	8.7.1998	bez obmedzenia
JUDr. Eva Kecseyová 	12.12.1996	bez obmedzenia
Mgr. Patrícia Kepeňová 	9.5.2000	4 - ročný mandát
Mgr. Kajetán Kičura 	1.2.1996	n/a
Mgr. Kajetan Kičura 	21.1.2000	bez obmedzenia
Mgr. Dr. Ingrid Kišacová 	12.12.1996	4 - ročný mandát
JUDr. Ingrid Kišacová, 	6.12.2000	bez obmedzenia
JUDr. Vladimír Kitta 	12.12.1996	bez obmedzenia
JUDr. Zdenka Kleimanová 	12.12.1996	bez obmedzenia
Dr. Gabriela Klenková 	8.7.1998	bez obmedzenia
JUDr. Anna Klepáčová 	8.7.1998	bez obmedzenia
JUDr. Mária Klepancová 	12.12.1996	bez obmedzenia
JUDr. Evu Kmeťovú 	11.2.1997	bez obmedzenia
JUDr. Renáta Kňazúrová 	12.12.1996	4 - ročný mandát
JUDr. Renáta Kňazúrová 	6.12.2000	bez obmedzenia
Mgr. Eva Koczánová 	19.5.1998	bez obmedzenia
JUDr. Judita Kokolevská 	12.12.1996	bez obmedzenia
JUDr. Adriana KONKOLOVSKÁ 	10.5.1995	n/a
JUDr. Dáša Kontríková 	1.7.1996	n/a
JUDr. Dáša Kontríková 	15.6.2000	bez obmedzenia
JUDr. Tatianu Koprdovú 	11.2.1997	bez obmedzenia
JUDr. Martin KOPŠO 	10.5.1995	n/a
Mgr. Klaudia Kosková 	1.7.1996	n/a
Mgr. Klaudia Kosková 	15.6.2000	bez obmedzenia
JUDr. Helena Kosorínová 	1.2.1996	n/a
Mgr. Jana Kosorínová 	26.3.1998	4 - ročný mandát
JUDr. Helena Kosorínová 	21.1.2000	bez obmedzenia
Mgr. Marcela Kosová 	26.3.1998	4 - ročný mandát
